,Source,Target,Weight,Timestamp
275,92,88,10,1296772979.2792199
276,92,95,1,1296773129.8371198
277,95,92,2,1296774360.49458
278,6,96,1,1296792123.6835
279,96,6,1,1296792359.704
280,76,30,1,1296837862.5248
281,30,45,1,1296868252.526
282,45,30,1,1296868317.36329
283,41,81,1,1296870068.1895
284,84,91,2,1296884305.28705
285,91,84,2,1296884644.81214
286,38,6,6,1296913225.27207
287,6,38,5,1296913557.9346302
288,84,17,2,1296927382.06491
289,84,98,2,1296927424.46441
290,98,84,2,1296927623.98348
291,57,27,2,1297093748.02624
292,27,57,2,1297093804.3276598
293,1,95,2,1297102509.3913698
294,95,1,2,1297102585.30881
295,69,11,4,1297187359.235
296,81,41,1,1297197836.3746
297,81,30,1,1297197843.90423
298,95,20,1,1297206554.6826699
299,20,95,1,1297207240.84724
300,82,0,1,1297291837.5104
301,95,97,1,1297301158.11584
302,97,95,1,1297301164.4001
303,95,72,1,1297308204.52492
304,72,95,1,1297308356.09497
305,30,99,1,1297315440.1354198
306,11,69,3,1297359911.12964
307,99,30,1,1297367601.17088
308,6,99,1,1297370441.70883
309,99,6,1,1297371118.2643
310,0,100,1,1297373817.09734
311,100,0,1,1297374204.87255
312,95,100,1,1297378806.4456198
313,100,95,1,1297378871.13707
314,72,82,1,1297385761.43817
315,82,72,1,1297385922.89955
316,72,45,1,1297386367.25667
317,45,72,1,1297386418.35483
318,30,102,1,1297461521.01176
319,102,30,1,1297462874.4835598
320,6,42,5,1297467512.3790698
321,42,72,2,1297479764.51934
322,6,103,2,1297482206.0411198
323,103,97,5,1297489409.50331
324,97,103,5,1297494046.21813
325,103,6,3,1297494086.69858
326,95,16,5,1297533099.47819
327,101,95,1,1297533751.04344
328,95,101,1,1297534217.73791
329,57,95,3,1297550942.57838
330,1,2,8,1297570107.33404
331,95,104,1,1297621909.8633301
332,104,95,1,1297626301.0518699
333,81,104,1,1297626584.94084
334,0,81,1,1297627293.1010802
335,81,0,1,1297627348.9926698
336,104,81,1,1297628387.63165
337,81,55,2,1297644400.6761198
338,1,104,1,1297647973.79808
339,104,1,1,1297647979.6559598
340,81,105,1,1297652993.62903
341,105,81,1,1297653023.0515
342,54,95,1,1297686544.7679
343,81,97,1,1297722488.0334802
344,97,81,1,1297723090.50627
345,95,106,1,1297734450.42201
346,106,95,1,1297734459.94641
347,0,107,1,1297789863.89503
348,107,0,1,1297789935.51858
349,108,1,1,1297807903.35418
350,42,109,1,1297809191.75732
351,30,110,1,1297812539.28516
352,110,30,1,1297812615.38151
353,17,84,4,1297815736.60998
354,16,95,2,1297824884.76968
355,66,60,2,1297844414.54098
356,57,111,1,1297866186.48689
357,111,112,1,1297866223.36195
358,112,111,1,1297866274.16062
359,95,54,1,1297872866.38282
360,1,81,1,1297878331.02521
361,81,1,1,1297878338.8396401
362,81,106,1,1297878360.64792
363,106,81,1,1297878526.43474
364,30,109,1,1297882010.56212
365,109,30,1,1297882595.23626
366,95,113,1,1297886091.4967198
367,75,114,2,1297893560.04423
368,60,66,3,1297907214.44135
369,113,115,1,1297908772.11966
370,115,113,2,1297908772.2987
371,113,54,1,1297908985.0441
372,81,116,1,1297910664.51101
373,95,117,4,1297911997.64031
374,117,95,4,1297912087.2256
375,95,84,3,1297915803.12114
376,84,95,3,1297915880.11482
377,116,81,1,1297915937.36182
378,30,118,1,1297959915.11871
379,118,30,1,1297961344.4528902
380,111,95,1,1297976227.00216
381,95,111,1,1297976241.97774
382,84,119,1,1297976422.3924198
383,119,84,2,1297976428.09406
384,40,6,3,1297980364.6205802
385,6,40,3,1297980493.92464
386,30,95,1,1298044125.36115
387,114,75,2,1298047000.3443198
388,95,30,1,1298054259.082
389,85,0,2,1298056076.44243
390,0,85,2,1298061893.74143
391,0,82,2,1298062294.48387
392,42,121,1,1298072059.67671
393,121,42,1,1298072081.9527302
394,85,111,1,1298128067.61391
395,111,85,1,1298130582.3206902
396,85,108,1,1298146050.01677
397,57,108,1,1298146920.37648
398,108,57,1,1298147261.90571
399,90,57,1,1298147284.26115
400,95,57,3,1298147302.06896
401,108,85,1,1298147389.6971
402,85,16,1,1298169867.2703302
403,6,122,3,1298169938.5239902
404,122,6,3,1298169949.7634802
405,16,85,1,1298176196.50247
406,95,75,1,1298252029.59932
407,75,95,1,1298252036.65929
408,95,118,2,1298265265.4078698
409,118,95,2,1298265838.45333
410,0,6,9,1298267256.4207401
411,6,0,7,1298267346.36932
412,95,123,1,1298311685.25666
413,123,95,1,1298311859.99465
414,30,124,1,1298314076.7642
415,124,30,1,1298314093.59449
416,30,123,1,1298315497.5734599
417,123,30,1,1298315517.02448
418,1,111,1,1298346435.18333
419,111,1,1,1298346449.83965
420,54,30,2,1298399915.40633
421,105,60,1,1298431338.72708
422,105,59,1,1298431427.57506
423,59,105,1,1298431543.83973
424,0,126,1,1298487310.22405
425,126,0,1,1298487318.2625
426,113,127,1,1298513462.94598
427,127,113,1,1298513680.51537
428,1,127,1,1298520615.60603
429,127,1,1,1298520693.71134
430,81,75,1,1298577705.04351
431,30,128,1,1298584878.7568
432,128,30,1,1298584913.7500598
433,30,129,1,1298589589.74716
434,129,30,1,1298589707.3691099
435,95,130,2,1298611411.8562
436,130,95,2,1298611459.2624
437,60,111,1,1298623979.12249
438,104,131,1,1298645238.44312
439,131,104,1,1298645445.29018
440,32,132,2,1298646564.1419
441,132,32,2,1298647569.99753
442,45,127,1,1298653534.32262
443,127,45,1,1298653559.5885
444,84,127,1,1298654517.4133801
445,127,84,1,1298654517.67884
446,42,75,2,1298654789.70468
447,42,133,1,1298657430.1608
448,45,2,1,1298665050.04055
449,84,134,2,1298665394.71677
450,134,84,1,1298667151.55806
451,30,135,1,1298667648.2034302
452,133,42,1,1298667687.63676
453,127,117,2,1298694079.99209
454,117,127,2,1298694137.7193198
455,136,6,2,1298708156.9605
456,32,137,3,1298740675.7172198
457,122,106,1,1298757244.9581
458,106,122,1,1298757268.91873
459,6,127,1,1298759550.40835
460,122,138,1,1298778315.23466
461,138,122,1,1298778361.0506198
462,111,93,1,1298795455.87274
463,93,111,1,1298795468.73169
464,106,139,1,1298843671.57232
465,139,106,1,1298843683.57829
466,54,0,2,1298844200.38302
467,54,140,1,1298844210.44139
468,140,54,1,1298844224.2797198
469,54,44,2,1298844292.26319
470,44,54,2,1298844298.0606198
471,105,134,1,1298874597.88921
472,111,134,1,1298874793.4339
473,134,111,1,1298874964.12214
474,134,105,1,1298875015.9994
475,127,141,1,1298878912.59071
476,141,127,1,1298878996.51595
477,135,30,1,1298880775.10185
478,111,60,3,1298898116.5608802
479,106,105,1,1298926935.42354
480,105,106,1,1298927097.42467
481,42,110,2,1298928760.87298
482,110,42,2,1298928785.24844
483,1,117,1,1298929715.26896
484,117,1,1,1298929724.58619
485,0,14,6,1298950354.24875
486,95,142,1,1299031253.02273
487,142,95,1,1299031290.36311
488,98,142,1,1299032633.45305
489,142,98,1,1299032672.0950902
490,95,120,1,1299034389.95688
491,120,95,1,1299034411.42346
492,98,105,1,1299038270.0000699
493,105,98,1,1299038484.57114
494,110,143,1,1299041120.30215
495,143,110,1,1299041133.74616
496,106,142,1,1299041571.84638
497,142,106,1,1299041643.76656
498,142,144,2,1299043467.00321
499,144,142,2,1299043551.7167199
500,105,144,1,1299044294.86964
501,144,105,1,1299044403.2418098
502,104,45,1,1299085320.8341599
503,45,104,1,1299085332.11705
504,145,6,2,1299087811.16481
505,6,145,2,1299088214.0403
506,59,6,1,1299088418.20491
507,6,57,1,1299093649.4224901
508,57,6,1,1299093674.94716
509,109,140,1,1299101381.01691
510,140,109,1,1299103258.8524199
511,6,146,1,1299151907.92823
512,146,6,1,1299152111.95803
513,137,32,1,1299178292.56269
514,144,147,1,1299204600.79527
515,147,144,1,1299204728.25571
516,98,148,1,1299204954.18879
517,148,98,1,1299205271.37817
518,24,6,2,1299206112.2051802
519,6,24,2,1299206119.67434
520,57,106,3,1299275608.11165
521,6,149,1,1299283600.03025
522,149,6,1,1299283609.0378
523,75,150,2,1299289949.53986
524,150,75,2,1299290475.7016199
525,75,151,1,1299304119.32378
526,151,75,1,1299304159.52682
527,75,81,2,1299436669.1493099
528,75,152,1,1299438045.5945802
529,152,75,1,1299438055.41055
530,75,84,1,1299446922.31054
531,84,75,1,1299446966.29133
532,5,134,3,1299447999.63164
533,81,6,1,1299490927.29325
534,75,132,1,1299521852.6112301
535,132,75,1,1299526904.15252
536,105,153,1,1299530754.61514
537,153,105,1,1299530789.68515
538,42,120,2,1299531271.8705
539,120,42,2,1299531324.89171
540,1,0,8,1299556897.1178699
541,41,18,2,1299557057.6194901
542,42,139,2,1299612557.68516
543,6,26,2,1299679074.4326198
544,42,154,1,1299680713.48263
545,154,42,1,1299690391.59665
546,42,155,1,1299695064.6484098
547,155,139,1,1299695092.1240401
548,155,42,1,1299695193.58884
549,139,155,1,1299696030.98944
550,6,156,1,1299732938.35009
551,156,6,1,1299732959.82189
552,21,42,2,1299735274.57295
553,44,157,1,1299758045.42469
554,157,44,1,1299758069.10407
555,42,21,2,1299767299.46624
556,42,152,4,1299770716.7943401
557,6,117,1,1299912911.49571
558,117,6,1,1299912916.6564
559,42,159,1,1299950085.78986
560,42,160,1,1299985463.22153
561,160,42,1,1299985655.0910099
562,6,161,2,1300015561.6701
563,161,6,2,1300015951.7451801
564,95,159,2,1300042936.98914
565,159,95,1,1300043117.64593
566,26,6,2,1300184211.5480301
567,155,162,1,1300209236.17869
568,162,155,1,1300211126.02863
569,72,163,1,1300226423.7699
570,163,72,1,1300226820.80052
571,104,164,1,1300231849.32684
572,164,104,1,1300232683.2189999
573,6,165,1,1300232688.6126099
574,104,42,1,1300233490.2665699
575,6,81,3,1300240396.64097
576,42,166,1,1300244368.07308
577,167,162,1,1300261803.24489
578,162,167,1,1300262138.70326
579,168,6,2,1300292102.85217
580,161,44,1,1300330194.91876
581,42,54,3,1300332304.32471
582,54,42,3,1300332465.49224
583,54,6,3,1300333012.9541302
584,42,170,3,1300402382.46128
585,6,171,1,1300411884.69399
586,171,6,1,1300414645.92746
587,104,105,2,1300459755.42946
588,105,104,2,1300459768.82549
589,42,104,1,1300473495.35943
590,6,167,2,1300568050.6267
591,111,170,1,1300652885.59238
592,89,6,5,1300708855.39164
593,6,168,3,1300720137.00426
594,6,69,1,1300745124.00214
595,75,140,-1,1300756036.3691301
596,161,140,-1,1300756138.39013
597,111,140,-1,1300756261.6172302
598,69,6,2,1300789107.18729
599,40,42,2,1300815962.8596401
600,163,172,1,1300839352.5936902
601,161,10,1,1300839891.18732
602,10,161,1,1300839913.56754
603,172,163,1,1300844813.10287
604,75,111,1,1300847913.88432
605,111,75,1,1300848458.62375
606,75,42,3,1300857385.78325
607,111,44,1,1300864405.05485
608,128,172,1,1300869245.91488
609,167,6,2,1300922187.70427
610,163,173,1,1300928213.78487
611,173,163,1,1300928240.52163
612,173,170,1,1300931572.43768
613,42,173,4,1300933559.35294
614,173,42,4,1300933628.40347
615,73,97,1,1300933841.6154199
616,42,174,2,1300933940.81493
617,174,42,2,1300934003.34278
618,97,73,1,1300934772.96625
619,173,6,1,1300936616.54053
620,173,95,1,1300936648.23633
621,173,21,1,1300937004.55166
622,105,114,1,1300997414.7400699
623,114,105,2,1300998238.60245
624,26,81,2,1301003730.28041
625,98,175,1,1301005357.37453
626,105,176,1,1301019703.69875
627,176,105,1,1301019908.3773801
628,21,173,1,1301020983.01394
629,6,173,1,1301023265.29454
630,98,113,1,1301029977.05713
631,6,140,-1,1301032557.19767
632,29,111,4,1301053223.02334
633,111,29,4,1301053275.06746
634,175,177,1,1301084932.76856
635,177,175,1,1301086321.13469
636,135,83,1,1301089005.6993802
637,114,163,1,1301105775.1062698
638,21,89,2,1301142985.03367
639,42,178,2,1301148833.16292
640,42,179,1,1301149633.64025
641,179,42,1,1301149695.18141
642,170,173,1,1301167471.06378
643,178,42,2,1301168075.2767699
644,178,2,5,1301168216.3998
645,98,140,-1,1301193533.0617301
646,137,180,1,1301235483.09664
647,180,137,1,1301235508.69089
648,180,81,1,1301235545.31582
649,137,181,1,1301245064.58624
650,0,184,7,1301329948.91762
651,42,0,7,1301333077.92972
652,42,6,7,1301333083.1693802
653,29,1,8,1301333302.8747199
654,163,137,1,1301339345.9990098
655,137,163,1,1301339497.00076
656,42,185,4,1301341025.09
657,0,186,1,1301354601.2876
658,186,0,1,1301354685.4841402
659,186,170,1,1301354726.36129
660,21,0,4,1301365737.22085
661,21,180,1,1301365871.6008801
662,180,21,1,1301366024.4191802
663,0,95,1,1301366233.1045198
664,0,187,1,1301369843.2832801
665,187,0,1,1301369929.12868
666,42,188,1,1301439895.52296
667,186,32,1,1301447178.01603
668,42,175,2,1301453104.26438
669,160,146,1,1301513674.37768
670,146,160,1,1301514094.92735
671,42,190,1,1301521482.9386802
672,42,191,1,1301522462.8194199
673,191,42,1,1301523090.45585
674,6,192,3,1301569599.51207
675,0,75,1,1301600149.38126
676,75,0,2,1301600346.82901
677,24,0,8,1301607874.4924
678,44,111,1,1301613622.54372
679,21,132,1,1301617653.67475
680,167,193,1,1301618418.8494
681,193,167,1,1301618444.55443
682,192,6,2,1301630013.46087
683,42,169,3,1301683978.58539
684,169,42,3,1301684509.79047
685,167,194,1,1301694942.53723
686,194,167,1,1301695371.53818
687,195,6,5,1301744132.96548
688,183,6,2,1301774795.68179
689,75,163,3,1301785228.57015
690,163,75,3,1301785244.12798
691,163,196,1,1301820795.67287
692,196,163,1,1301821269.5120301
693,163,197,1,1301827089.371
694,197,163,10,1301827807.72056
695,111,198,1,1301863197.3147302
696,198,111,1,1301863380.16357
697,29,199,1,1301866633.93795
698,199,45,1,1301866651.50438
699,199,29,1,1301866658.16656
700,163,98,2,1301897258.59866
701,98,163,2,1301897279.1940598
702,1,6,5,1301898700.00283
703,1,42,5,1301898705.0181198
704,1,44,8,1301898738.21734
705,1,56,2,1301898759.93158
706,6,1,5,1301899167.88298
707,6,29,5,1301899174.23402
708,6,30,5,1301899185.05481
709,6,16,5,1301899226.79428
710,6,52,2,1301899299.67572
711,6,44,6,1301899326.87125
712,169,44,1,1301901227.83931
713,167,200,1,1301901459.51033
714,200,167,2,1301901471.9031801
715,44,169,1,1301901475.36796
716,191,201,1,1301936770.2310698
717,29,105,2,1301938972.97953
718,105,29,2,1301939041.53778
719,201,191,1,1301941162.33583
720,42,202,6,1301945086.5824401
721,202,42,6,1301945156.92203
722,98,1,1,1301972936.39276
723,165,6,1,1301973637.93208
724,0,45,3,1301975394.34679
725,45,0,3,1301975615.66909
726,163,204,1,1301998379.2874599
727,204,42,2,1301999041.3339698
728,163,40,1,1302005850.75124
729,40,163,1,1302005904.06754
730,125,42,5,1302011702.1291199
731,42,125,5,1302011716.65014
732,165,59,1,1302012515.5734801
733,40,85,1,1302012678.63861
734,111,59,5,1302016172.1460302
735,0,205,1,1302017978.22264
736,201,59,3,1302025647.35766
737,26,206,1,1302027410.92431
738,206,26,1,1302027786.6312401
739,0,207,1,1302043777.83291
740,207,0,1,1302043935.46555
741,59,201,3,1302044439.63816
742,59,45,1,1302044526.12678
743,59,165,1,1302044550.36239
744,59,111,5,1302044581.2426698
745,59,60,8,1302044652.10865
746,188,42,2,1302055573.88593
747,52,16,1,1302069957.5920901
748,26,208,2,1302082638.35105
749,208,26,2,1302082712.11024
750,204,205,2,1302096657.23576
751,205,204,2,1302097036.37516
752,205,210,1,1302103935.61212
753,210,205,1,1302103959.46268
754,42,211,1,1302107640.20041
755,42,210,3,1302108245.39571
756,210,42,3,1302108321.25808
757,6,136,2,1302112511.70515
758,127,167,1,1302117349.64077
759,167,127,1,1302117447.02989
760,42,204,4,1302121400.1563
761,127,119,1,1302132473.03542
762,176,209,1,1302136505.95479
763,209,176,1,1302136666.0750198
764,42,203,5,1302203707.81714
765,203,42,6,1302203835.70195
766,42,212,1,1302204154.31343
767,212,42,1,1302204187.96469
768,213,68,1,1302212934.15979
769,105,6,5,1302236703.97441
770,6,105,4,1302236754.91664
771,0,194,1,1302237679.6853
772,194,0,1,1302237928.02605
773,211,205,1,1302246462.50509
774,205,211,1,1302246492.7081199
775,42,64,2,1302278539.02512
776,64,42,4,1302279515.49002
777,64,75,3,1302279761.22593
778,75,64,3,1302287609.45711
779,42,215,1,1302289159.55323
780,215,42,1,1302289547.8216698
781,21,211,2,1302290506.1325
782,127,6,3,1302290513.17185
783,211,21,2,1302290516.59398
784,211,42,5,1302292040.5721
785,211,0,5,1302292044.59373
786,211,163,5,1302292056.33274
787,0,211,2,1302292173.9502802
788,125,124,1,1302292905.39664
789,167,216,1,1302296393.61884
790,216,167,1,1302296410.68733
791,42,217,10,1302296668.90613
792,5,218,1,1302322673.83153
793,218,5,1,1302322871.16228
794,45,180,1,1302323406.62678
795,218,219,1,1302333277.1291401
796,219,218,2,1302335098.12836
797,0,220,1,1302449430.17889
798,6,220,4,1302449755.3736699
799,0,221,1,1302453499.7874599
800,221,0,1,1302454856.85179
801,163,119,1,1302482453.1886
802,216,114,1,1302495086.26435
803,163,200,2,1302496979.4742599
804,200,163,2,1302496999.1879401
805,204,84,1,1302530478.1929
806,204,85,1,1302534403.24766
807,168,222,1,1302543865.71495
808,222,168,1,1302543928.2484698
809,17,223,2,1302565807.95899
810,42,224,4,1302617059.0161
811,42,225,4,1302617703.32199
812,225,42,4,1302618615.2068698
813,111,226,1,1302639445.78691
814,226,111,1,1302639465.88425
815,26,227,1,1302639584.04456
816,227,26,1,1302639594.24471
817,163,103,1,1302641206.60453
818,103,163,1,1302641237.23526
819,5,228,3,1302648708.99925
820,226,42,5,1302648768.56717
821,189,176,1,1302652617.51579
822,176,189,1,1302652619.89266
823,103,30,1,1302659093.7089999
824,202,103,1,1302659161.53761
825,103,202,1,1302659185.59919
826,176,182,2,1302659794.35446
827,228,5,3,1302659889.30505
828,182,176,2,1302660915.73231
829,182,229,1,1302660923.43809
830,229,182,1,1302661144.3117
831,229,2,1,1302661676.62094
832,30,103,1,1302666289.3934
833,42,229,1,1302707523.2397
834,114,6,1,1302713671.69297
835,209,128,1,1302722251.86399
836,182,132,1,1302725616.99514
837,0,80,1,1302729569.61908
838,163,190,1,1302740432.54859
839,132,182,1,1302745364.8752198
840,132,195,2,1302747220.14808
841,195,132,1,1302747939.81542
842,45,6,3,1302750631.70804
843,138,0,4,1302752567.01549
844,42,56,4,1302790887.38111
845,111,18,10,1302791427.3307
846,0,231,1,1302800924.19661
847,231,0,1,1302800937.45189
848,182,232,1,1302814706.88712
849,232,182,1,1302814788.9333599
850,163,114,4,1302817543.85249
851,42,221,2,1302818032.37702
852,221,42,2,1302818176.74099
853,42,233,2,1302818420.69705
854,17,191,1,1302820322.40181
855,6,203,4,1302824119.085
856,190,163,2,1302825832.23655
857,106,57,5,1302842625.08982
858,106,114,1,1302842652.67125
859,229,6,1,1302845151.1793098
860,6,229,1,1302845532.6656802
